title;genre;distributor;year
Mission: Impossible 2;Action;Paramount Pictures;2000
Gladiator;Action;Dreamworks SKG;2000
X-Men;Action;20th Century Fox;2000
Charlie's Angels;Action;Sony Pictures;2000
Gone in 60 Seconds;Action;Walt Disney;2000
U-571;Action;Universal;2000
Shaft;Action;Paramount Pictures;2000
Romeo Must Die;Action;Warner Bros.;2000
The 6th Day;Action;Sony Pictures;2000
Proof of Life;Action;Warner Bros.;2000
Reindeer Games;Action;Miramax;2000
Battlefield Earth: A Saga of the Year 3000;Action;Warner Bros.;2000
Red Planet;Action;Warner Bros.;2000
Bait;Action;Warner Bros.;2000
Get Carter;Action;Warner Bros.;2000
Crouching Tiger, Hidden Dragon;Action;Fathom Events;2000
Highlander: Endgame;Action;Miramax/Dimension;2000
The Legend of Drunken Master;Action;Miramax;2000
Godzilla 2000;Action;Sony Pictures;2000
The World is Not Enough;Action;MGM;1999
The Way of the Gun;Action;Artisan;2000
End of Days;Action;Universal;1999
Double Jeopardy;Action;Paramount Pictures;1999
Taxi 2;Action;Lionsgate;2000
Blue Streak;Action;Sony Pictures;1999
The Omega Code;Action;Providence Entertainment;1999
El Circulo Vicioso;Action;;2000
The Boondock Saints;Action;Indican Pictures;2000
The Specials;Action;;2000
Pups;Action;;2000
Rush Hour 2;Action;New Line;2001
Pearl Harbor;Action;Walt Disney;2001
Jurassic Park III;Action;Universal;2001
The Fast and the Furious;Action;Universal;2001
Crouching Tiger, Hidden Dragon;Action;Fathom Events;2000
Swordfish;Action;Warner Bros.;2001
The Mexican;Action;Dreamworks SKG;2001
Spy Game;Action;Universal;2001
Behind Enemy Lines;Action;20th Century Fox;2001
Exit Wounds;Action;Warner Bros.;2001
The One;Action;Sony Pictures;2001
Kiss of the Dragon;Action;20th Century Fox;2001
Driven;Action;Warner Bros.;2001
Double Take;Action;Walt Disney;2001
Heist;Action;New Line;2001
3000 Miles to Graceland;Action;Warner Bros.;2001
Iron Monkey;Action;Miramax;2001
John Carpenter's Ghosts of Mars;Action;Screen Media Films;2001
Megiddo: Omega Code 2;Action;8X Entertainment;2001
Apocalypse Now;Action;United Artists;1979
Proof of Life;Action;Warner Bros.;2000
Charlie's Angels;Action;Sony Pictures;2000
Gladiator;Action;Dreamworks SKG;2000
Extreme Days;Action;Providence Entertainment;2001
Black Hawk Down;Action;Sony Pictures;2001
Le pacte des loups;Action;;2001
The 6th Day;Action;Sony Pictures;2000
Red Planet;Action;Warner Bros.;2000
Time and Tide;Action;;2001
Vampire Hunter D: Bloodlust;Action;;2001
Bangkok Dangerous;Action;First Look;2001
Akira;Action;;2001
Taxi 2;Action;Lionsgate;2000
Men in Black 2;Action;Sony Pictures;2002
Die Another Day;Action;MGM;2002
xXx;Action;Sony Pictures;2002
Minority Report;Action;20th Century Fox;2002
The Sum of All Fears;Action;Paramount Pictures;2002
Black Hawk Down;Action;Sony Pictures;2001
The Scorpion King;Action;Universal;2002
Blade 2;Action;New Line;2002
The Tuxedo;Action;Dreamworks SKG;2002
Reign of Fire;Action;Walt Disney;2002
Windtalkers;Action;MGM;2002
Collateral Damage;Action;Warner Bros.;2002
K-19: The Widowmaker;Action;Paramount Pictures;2002
I Spy;Action;Sony Pictures;2002
Bad Company;Action;Walt Disney;2002
The Transporter;Action;20th Century Fox;2002
Rollerball;Action;MGM;2002
Half Past Dead;Action;Sony Pictures;2002
Ballistic: Ecks vs. Sever;Action;Warner Bros.;2002
Le pacte des loups;Action;;2001
Formula 51;Action;Screen Media Films;2002
Behind Enemy Lines;Action;20th Century Fox;2001
Extreme Ops;Action;Paramount Pictures;2002
State Property;Action;Lionsgate;2002
Equilibrium;Action;Miramax/Dimension;2002
Spy Game;Action;Universal;2001
Metropolis;Action;Paramount Pictures;1927
Shichinin no samurai;Action;Cowboy Pictures;1956
Snipes;Action;;2002
Master of the Flying Guillotine;Action;;2002
Outta Time;Action;;2002
Bangkok Dangerous;Action;First Look;2001
The Matrix Reloaded;Action;Warner Bros.;2003
X-Men 2;Action;20th Century Fox;2003
Terminator 3: Rise of the Machines;Action;Warner Bros.;2003
Bad Boys II;Action;Sony Pictures;2003
The Matrix Revolutions;Action;Warner Bros.;2003
Hulk;Action;Universal;2003
2 Fast 2 Furious;Action;Universal;2003
S.W.A.T.;Action;Sony Pictures;2003
Daredevil;Action;20th Century Fox;2003
Charlie's Angels: Full Throttle;Action;Sony Pictures;2003
The Last Samurai;Action;Warner Bros.;2003
Kill Bill: Volume 1;Action;Miramax;2003
Once Upon a Time in Mexico;Action;Sony Pictures;2003
Underworld;Action;Sony Pictures;2003
The Rundown;Action;Universal;2003
Tears of the Sun;Action;Sony Pictures;2003
National Security;Action;Sony Pictures;2003
