title;genre;distributor;year
How the Grinch Stole Christmas;Adventure;Universal;2000
Dinosaur;Adventure;Walt Disney;2000
Cast Away;Adventure;20th Century Fox;2000
Chicken Run;Adventure;Dreamworks SKG;2000
Space Cowboys;Adventure;Warner Bros.;2000
Rugrats in Paris;Adventure;Paramount Pictures;2000
Mission to Mars;Adventure;Walt Disney;2000
Stuart Little;Adventure;Sony Pictures;1999
Snow Day;Adventure;Paramount Pictures;2000
102 Dalmatians;Adventure;Walt Disney;2000
The Emperor's New Groove;Adventure;Walt Disney;2000
The Road to El Dorado;Adventure;Dreamworks SKG;2000
The Tigger Movie;Adventure;Walt Disney;2000
Galaxy Quest;Adventure;Dreamworks SKG;1999
Pokemon 2000;Adventure;Warner Bros.;2000
Toy Story 2;Adventure;Walt Disney;1999
The Flintstones in Viva Rock Vegas;Adventure;Universal;2000
The Adventures of Rocky & Bullwinkle;Adventure;Universal;2000
Titan A.E.;Adventure;20th Century Fox;2000
Thomas and the Magic Railroad;Adventure;Shout! Factory;2000
Dungeons and Dragons;Adventure;New Line;2000
The Little Vampire;Adventure;New Line;2000
Digimon: The Movie;Adventure;20th Century Fox;2000
T-Rex: Back to the Cretaceous;Adventure;IMAX Films;1998
Cyberworld 3D;Adventure;IMAX Films;2000
Alien Adventure;Adventure;nWave Pictures;2000
Pokemon: The First Movie;Adventure;Warner Bros.;1999
MVP: Most Valuable Primate;Adventure;Keystone Entertainment;2000
Star Wars Ep. I: The Phantom Menace;Adventure;20th Century Fox;1999
Across The Sea of Time;Adventure;Sony Pictures Classics;1995
Tarzan;Adventure;Walt Disney;1999
Kirikou and the Sorceress;Adventure;ArtMattan Films;2000
Sinbad: Beyond the Veil of Mists;Adventure;Phaedra Cinema;2000
Harry Potter and the Sorcerer's Stone;Adventure;Warner Bros.;2001
Shrek;Adventure;Dreamworks SKG;2001
Monsters, Inc.;Adventure;Walt Disney;2001
The Lord of the Rings: The Fellowship of the Ring;Adventure;New Line;2001
The Mummy Returns;Adventure;Universal;2001
Planet of the Apes;Adventure;20th Century Fox;2001
Lara Croft: Tomb Raider;Adventure;Paramount Pictures;2001
Cast Away;Adventure;20th Century Fox;2000
Dr. Dolittle 2;Adventure;20th Century Fox;2001
Spy Kids;Adventure;Miramax/Dimension;2001
Atlantis: The Lost Empire;Adventure;Walt Disney;2001
Jimmy Neutron: Boy Genius;Adventure;Paramount Pictures;2001
A Knight's Tale;Adventure;Sony Pictures;2001
The Emperor's New Groove;Adventure;Walt Disney;2000
Recess: School's Out;Adventure;Walt Disney;2001
See Spot Run;Adventure;Warner Bros.;2001
Final Fantasy: The Spirits Within;Adventure;Sony Pictures;2001
Black Knight;Adventure;20th Century Fox;2001
The Musketeer;Adventure;Universal;2001
Crocodile Dundee in Los Angeles;Adventure;Paramount Pictures;2001
Max Keeble's Big Move;Adventure;Walt Disney;2001
Pokemon 3: The Movie;Adventure;Warner Bros.;2001
Osmosis Jones;Adventure;Warner Bros.;2001
102 Dalmatians;Adventure;Walt Disney;2000
Cyberworld 3D;Adventure;IMAX Films;2000
How the Grinch Stole Christmas;Adventure;Universal;2000
Rugrats in Paris;Adventure;Paramount Pictures;2000
Haunted Castle;Adventure;nWave Pictures;2001
T-Rex: Back to the Cretaceous;Adventure;IMAX Films;1998
Dungeons and Dragons;Adventure;New Line;2000
Alien Adventure;Adventure;nWave Pictures;2000
Across The Sea of Time;Adventure;Sony Pictures Classics;1995
Space Cowboys;Adventure;Warner Bros.;2000
2001: A Space Odyssey;Adventure;MGM;1968
Kirikou and the Sorceress;Adventure;ArtMattan Films;2000
