title;genre;distributor;year
Meet the Parents;Comedy;Universal;2000
Scary Movie;Comedy;Miramax/Dimension;2000
Nutty Professor II: The Klumps;Comedy;Universal;2000
Big Momma's House;Comedy;20th Century Fox;2000
The Kid;Comedy;Walt Disney;2000
Road Trip;Comedy;Dreamworks SKG;2000
Bring it On;Comedy;Universal;2000
The Whole Nine Yards;Comedy;Warner Bros.;2000
Next Friday;Comedy;New Line;2000
Miss Congeniality;Comedy;Warner Bros.;2000
The Replacements;Comedy;Warner Bros.;2000
The Family Man;Comedy;Universal;2000
Little Nicky;Comedy;New Line;2000
Bedazzled;Comedy;20th Century Fox;2000
28 Days;Comedy;Sony Pictures;2000
Hanging Up;Comedy;Sony Pictures;2000
Dude, Where's My Car?;Comedy;20th Century Fox;2000
Almost Famous;Comedy;Dreamworks SKG;2000
High Fidelity;Comedy;Walt Disney;2000
Wonder Boys;Comedy;Paramount Pictures;2000
Deuce Bigalow: Male Gigolo;Comedy;Walt Disney;1999
Small Time Crooks;Comedy;Dreamworks SKG;2000
Best in Show;Comedy;Warner Bros.;2000
Drowning Mona;Comedy;Destination Films;2000
The Ladies Man;Comedy;Paramount Pictures;2000
The Crew;Comedy;Walt Disney;2000
Ready to Rumble;Comedy;Warner Bros.;2000
Saving Grace;Comedy;Fine Line;2000
3 Strikes;Comedy;MGM;2000
Play it to the Bone;Comedy;Walt Disney;1999
Screwed;Comedy;Universal;2000
What Planet Are You From?;Comedy;Sony Pictures;2000
Where the Money Is;Comedy;USA Films;2000
Held Up;Comedy;Trimark;2000
East is East;Comedy;Miramax;2000
Whipped;Comedy;Destination Films;2000
Isn't She Great;Comedy;Universal;2000
But I'm a Cheerleader;Comedy;Lionsgate;2000
O Brother, Where Art Thou?;Comedy;Walt Disney;2000
La Vie Après L'Amour;Comedy;Alliance Atlantis;2000
The Broken Hearts Club: A Romantic Comedy;Comedy;Sony Pictures Classics;2000
Dogma;Comedy;Lionsgate;1999
Gun Shy;Comedy;Walt Disney;2000
State and Main;Comedy;Fine Line;2000
Groove;Comedy;Sony Pictures Classics;2000
Catfish in Black Bean Sauce;Comedy;Phaedra Cinema;2000
The Cup;Comedy;Fine Line;2000
Simpatico;Comedy;Phaedra Cinema;1999
New Waterford Girl;Comedy;Alliance Atlantis;2000
A Hard Day's Night;Comedy;Universal;1964
Superstar;Comedy;Paramount Pictures;1999
Luminarias;Comedy;;2000
Smiling Fish and Goat on Fire;Comedy;;2000
Psycho Beach Party;Comedy;;2000
Beautiful People;Comedy;Trimark;2000
The Closer You Get;Comedy;;2000
The Discreet Charm of the Bourgeoisie;Comedy;;2000
The Big Tease;Comedy;Warner Bros.;2000
La Bûche;Comedy;Empire Pictures;2000
Laura Cadieux .. La Suite;Comedy;Alliance Atlantis;1999
Agnes Browne;Comedy;USA Films;1999
Human Resources;Comedy;;2000
Bedrooms and Hallways;Comedy;First Run Features;1999
Adorenarin doraibu;Comedy;Shooting Gallery;2000
Blue Moon;Comedy;Castle Hill Productions;2000
Diamonds;Comedy;Miramax;1999
An Everlasting Piece;Comedy;Dreamworks SKG;2000
La Bouteille;Comedy;Lionsgate;2000
Billy Liar;Comedy;Rialto Pictures;1963
The Saragossa Manuscript;Comedy;Cowboy Pictures;1999
Bootmen;Comedy;Fox Searchlight;2000
2 Männer, 2 Frauen - 4 Probleme!?;Comedy;;2000
30 Days;Comedy;Arrow Releasing;2000
Aïe;Comedy;;2000
Mookie;Comedy;;2000
Les convoyeurs attendent;Comedy;Samuel Goldwyn Films;2000
Edge of Seventeen;Comedy;Strand;1999
Chutney Popcorn;Comedy;First Look;2000
L'Homme Nu;Comedy;;2000
Better Living;Comedy;;2000
American Pie 2;Comedy;Universal;2001
The Princess Diaries;Comedy;Walt Disney;2001
