title;genre;distributor;year
The Perfect Storm;Drama;Warner Bros.;2000
Erin Brockovich;Drama;Universal;2000
Remember the Titans;Drama;Walt Disney;2000
The Patriot;Drama;Sony Pictures;2000
Rules of Engagement;Drama;Paramount Pictures;2000
Coyote Ugly;Drama;Walt Disney;2000
The Green Mile;Drama;Warner Bros.;1999
American Beauty;Drama;Dreamworks SKG;1999
The Cider House Rules;Drama;Miramax;1999
The Hurricane;Drama;Universal;1999
Men of Honor;Drama;20th Century Fox;2000
The Beach;Drama;20th Century Fox;2000
Autumn in New York;Drama;MGM;2000
Bounce;Drama;Miramax;2000
My Dog Skip;Drama;Warner Bros.;2000
Where the Heart Is;Drama;20th Century Fox;2000
Pay it Forward;Drama;Warner Bros.;2000
The Legend of Bagger Vance;Drama;Dreamworks SKG;2000
Any Given Sunday;Drama;Warner Bros.;1999
Girl, Interrupted;Drama;Sony Pictures;1999
Love & Basketball;Drama;New Line;2000
Magnolia;Drama;New Line;1999
Bicentennial Man;Drama;Walt Disney;1999
Center Stage;Drama;Sony Pictures;2000
Billy Elliot;Drama;Focus Features;2000
Boiler Room;Drama;New Line;2000
The Next Best Thing;Drama;Paramount Pictures;2000
Anna and the King;Drama;20th Century Fox;1999
Snow Falling on Cedars;Drama;Universal;1999
Angela's Ashes;Drama;Paramount Pictures;1999
Here on Earth;Drama;20th Century Fox;2000
Man on the Moon;Drama;Universal;1999
The End of the Affair;Drama;Sony Pictures;1999
Boys Don't Cry;Drama;Fox Searchlight;1999
I Dreamed of Africa;Drama;Sony Pictures;2000
Croupier;Drama;Shooting Gallery;2000
Todo sobre mi madre;Drama;Sony Pictures Classics;1999
Finding Forrester;Drama;Sony Pictures;2000
Black and White;Drama;Sony Pictures;2000
Gossip;Drama;Warner Bros.;2000
Sunshine;Drama;Paramount Vantage;1999
Duets;Drama;Walt Disney;2000
Chocolat;Drama;Miramax;2000
You Can Count on Me;Drama;Paramount Vantage;2000
Price of Glory;Drama;New Line;2000
Quills;Drama;Fox Searchlight;2000
Ghost Dog: The Way of the Samurai;Drama;Artisan;2000
The Big Kahuna;Drama;Lionsgate;2000
Beautiful;Drama;Destination Films;2000
Up at the Villa;Drama;Focus Features;2000
The Insider;Drama;Walt Disney;1999
Requiem for a Dream;Drama;Artisan;2000
God's Army;Drama;Excel Entertainment;2000
East-West;Drama;Sony Pictures;2000
Mansfield Park;Drama;Miramax;1999
Bamboozled;Drama;New Line;2000
Cradle Will Rock;Drama;Walt Disney;1999
La lengua de las mariposas;Drama;Miramax;2000
Titus;Drama;20th Century Fox;1999
The Straight Story;Drama;Walt Disney;1999
The Color of Paradise;Drama;Sony Pictures Classics;2000
Holy Smoke;Drama;Miramax;1999
Hamlet;Drama;Miramax;2000
Girlfight;Drama;Sony Pictures;2000
Liberty Heights;Drama;Warner Bros.;1999
Jesus' Son;Drama;Lionsgate;2000
Turn It Up;Drama;New Line;2000
Shower;Drama;Sony Pictures Classics;2000
Jing ke ci qin wang;Drama;Sony Pictures Classics;1999
Time Code;Drama;Sony Pictures;2000
Chuck&Buck;Drama;Artisan;2000
What's Cooking;Drama;Lionsgate;2000
Urbania;Drama;Lionsgate;2000
Two Family House;Drama;Lionsgate;2000
La otra conquista;Drama;Hombre de Oro;2000
The Yards;Drama;Miramax;2000
Aimée & Jaguar;Drama;Zeitgeist;2000
Passion of Mind;Drama;Paramount Vantage;2000
Alice et Martin;Drama;October Films;2000
Place Vendome;Drama;Empire Pictures;2000
Kadosh;Drama;Kino International;2000
The Third Miracle;Drama;Sony Pictures;1999
Goya in Bordeaux;Drama;Sony Pictures Classics;2000
Joe Gould's Secret;Drama;Focus Features;2000
Fiza;Drama;Video Sound;2000
Refugee;Drama;Yash Raj Films;2000
Yi Ge Dou Bu Neng Shao;Drama;Sony Pictures Classics;2000
Mifune;Drama;Sony Pictures Classics;2000
The Opportunists;Drama;First Look;2000
The Basket;Drama;MGM;2000
A Time for Drunken Horses;Drama;Shooting Gallery;2000
