title;genre;distributor;year
What Women Want;Romantic-Comedy;Paramount Pictures;2000
Me, Myself & Irene;Romantic-Comedy;20th Century Fox;2000
Keeping the Faith;Romantic-Comedy;Walt Disney;2000
Return to Me;Romantic-Comedy;MGM;2000
Boys and Girls;Romantic-Comedy;Miramax;2000
Down to You;Romantic-Comedy;Miramax;2000
Loser;Romantic-Comedy;Sony Pictures;2000
Dr. T and the Women;Romantic-Comedy;Artisan;2000
Whatever it Takes;Romantic-Comedy;Sony Pictures;2000
Woman on Top;Romantic-Comedy;Fox Searchlight;2000
The Tao of Steve;Romantic-Comedy;Sony Pictures Classics;2000
Sweet and Lowdown;Romantic-Comedy;Sony Pictures Classics;1999
Bossa Nova;Romantic-Comedy;Sony Pictures Classics;2000
Girl on the Bridge;Romantic-Comedy;Paramount Vantage;2000
The Best Man;Romantic-Comedy;Universal;1999
Me, Myself & I;Romantic-Comedy;Sony Pictures Classics;2000
Love and Sex;Romantic-Comedy;Lionsgate;2000
The Bachelor;Romantic-Comedy;New Line;1999
Love's Labour's Lost;Romantic-Comedy;Miramax;2000
Chal Mere Bhai;Romantic-Comedy;Eros Entertainment;2000
Fever Pitch;Romantic-Comedy;Phaedra Cinema;1999
Runaway Bride;Romantic-Comedy;Paramount Pictures;1999
Mad About Mambo;Romantic-Comedy;;2000
Drive Me Crazy;Romantic-Comedy;20th Century Fox;1999
America's Sweethearts;Romantic-Comedy;Sony Pictures;2001
Bridget Jones's Diary;Romantic-Comedy;Miramax;2001
Shallow Hal;Romantic-Comedy;20th Century Fox;2001
What Women Want;Romantic-Comedy;Paramount Pictures;2000
The Wedding Planner;Romantic-Comedy;Sony Pictures;2001
Serendipity;Romantic-Comedy;Miramax;2001
Kate and Leopold;Romantic-Comedy;Miramax;2001
Someone Like You;Romantic-Comedy;20th Century Fox;2001
Two Can Play That Game;Romantic-Comedy;Sony Pictures;2001
Summer Catch;Romantic-Comedy;Warner Bros.;2001
Le Fabuleux destin d'Amélie Poulain;Romantic-Comedy;Miramax;2001
Get Over It;Romantic-Comedy;Miramax;2001
Head Over Heels;Romantic-Comedy;Universal;2001
Town & Country;Romantic-Comedy;New Line;2001
On the Line;Romantic-Comedy;Miramax;2001
All Over the Guy;Romantic-Comedy;Lionsgate;2001
American Desi;Romantic-Comedy;Eros Entertainment;2001
Va Savoir (Who Knows?);Romantic-Comedy;Sony Pictures Classics;2001
Happy Accidents;Romantic-Comedy;IFC Films;2001
The Taste of Others;Romantic-Comedy;Miramax;2001
Better than Sex;Romantic-Comedy;Samuel Goldwyn Films;2001
Best Man in Grass Creek;Romantic-Comedy;;2001
Mademoiselle;Romantic-Comedy;;2001
Café Olé;Romantic-Comedy;Equinox;2001
Let it Snow;Romantic-Comedy;;2001
Du pic au coeur;Romantic-Comedy;;2001
My Big Fat Greek Wedding;Romantic-Comedy;IFC Films;2002
Maid in Manhattan;Romantic-Comedy;Sony Pictures;2002
Two Weeks Notice;Romantic-Comedy;Warner Bros.;2002
About a Boy;Romantic-Comedy;Universal;2002
40 Days and 40 Nights;Romantic-Comedy;Miramax;2002
Brown Sugar;Romantic-Comedy;20th Century Fox;2002
The Sweetest Thing;Romantic-Comedy;Sony Pictures;2002
Serving Sara;Romantic-Comedy;Paramount Pictures;2002
Kate and Leopold;Romantic-Comedy;Miramax;2001
Le Fabuleux destin d'Amélie Poulain;Romantic-Comedy;Miramax;2001
Life, or Something Like It;Romantic-Comedy;20th Century Fox;2002
Kissing Jessica Stein;Romantic-Comedy;Fox Searchlight;2002
Hollywood Ending;Romantic-Comedy;Dreamworks SKG;2002
Shallow Hal;Romantic-Comedy;20th Century Fox;2001
Bollywood/Hollywood;Romantic-Comedy;Magnolia Pictures;2002
Crush;Romantic-Comedy;Sony Pictures Classics;2002
Swept Away;Romantic-Comedy;Sony Pictures;2002
The Triumph of Love;Romantic-Comedy;;2002
Never Again;Romantic-Comedy;;2002
The Bread, My Sweet;Romantic-Comedy;Panorama Entertainment;2002
Mujhse Dosti Karoge;Romantic-Comedy;;2002
Waking Up in Reno;Romantic-Comedy;Miramax;2002
Amy's Orgasm;Romantic-Comedy;Magic Lamp;2002
Va Savoir (Who Knows?);Romantic-Comedy;Sony Pictures Classics;2001
How to Lose a Guy in 10 Days;Romantic-Comedy;Paramount Pictures;2003
Something's Gotta Give;Romantic-Comedy;Sony Pictures;2003
Love Actually;Romantic-Comedy;Universal;2003
