title;genre;distributor;year
What Lies Beneath;Thriller-or-Suspense;Dreamworks SKG;2000
Unbreakable;Thriller-or-Suspense;Walt Disney;2000
The Cell;Thriller-or-Suspense;New Line;2000
Vertical Limit;Thriller-or-Suspense;Sony Pictures;2000
Frequency;Thriller-or-Suspense;New Line;2000
The Talented Mr. Ripley;Thriller-or-Suspense;Paramount Pictures;1999
The Skulls;Thriller-or-Suspense;Universal;2000
The Art of War;Thriller-or-Suspense;Warner Bros.;2000
The Watcher;Thriller-or-Suspense;Universal;2000
The Ninth Gate;Thriller-or-Suspense;Artisan;2000
The Contender;Thriller-or-Suspense;Dreamworks SKG;2000
The Sixth Sense;Thriller-or-Suspense;Walt Disney;1999
Eye of the Beholder;Thriller-or-Suspense;Destination Films;2000
Supernova;Thriller-or-Suspense;MGM;2000
The In Crowd;Thriller-or-Suspense;Warner Bros.;2000
The Bone Collector;Thriller-or-Suspense;Universal;1999
Blood Simple;Thriller-or-Suspense;USA Films;1985
Trois;Thriller-or-Suspense;Rainforest Productions;2000
Du rififi chez les hommes;Thriller-or-Suspense;;1956
Under Suspicion;Thriller-or-Suspense;;2000
Baise-moi;Thriller-or-Suspense;;2000
Deterrence;Thriller-or-Suspense;;2000
With a Friend Like Harry;Thriller-or-Suspense;Miramax;2000
Lola rennt;Thriller-or-Suspense;Sony Pictures Classics;1999
Taboo;Thriller-or-Suspense;;2000
The Gift;Thriller-or-Suspense;Paramount Vantage;2000
The Thomas Crown Affair;Thriller-or-Suspense;MGM;1999
Buddy Boy;Thriller-or-Suspense;Fine Line;2000
Circus;Thriller-or-Suspense;Sony Pictures;2000
The Quarry;Thriller-or-Suspense;First Run Features;2000
Brown's Requiem;Thriller-or-Suspense;Avalanche Releasing;2000
Placebo Effect;Thriller-or-Suspense;Phaedra Cinema;2000
Ocean's Eleven;Thriller-or-Suspense;Warner Bros.;2001
Vanilla Sky;Thriller-or-Suspense;Paramount Pictures;2001
Training Day;Thriller-or-Suspense;Warner Bros.;2001
Along Came a Spider;Thriller-or-Suspense;Paramount Pictures;2001
The Score;Thriller-or-Suspense;Paramount Pictures;2001
Don't Say a Word;Thriller-or-Suspense;20th Century Fox;2001
Domestic Disturbance;Thriller-or-Suspense;Paramount Pictures;2001
From Hell;Thriller-or-Suspense;20th Century Fox;2001
Memento;Thriller-or-Suspense;Newmarket Films;2001
15 Minutes;Thriller-or-Suspense;New Line;2001
Joy Ride;Thriller-or-Suspense;20th Century Fox;2001
The Pledge;Thriller-or-Suspense;Warner Bros.;2001
The Last Castle;Thriller-or-Suspense;Dreamworks SKG;2001
The Glass House;Thriller-or-Suspense;Sony Pictures;2001
Vertical Limit;Thriller-or-Suspense;Sony Pictures;2000
Original Sin;Thriller-or-Suspense;MGM;2001
The Tailor of Panama;Thriller-or-Suspense;Sony Pictures;2001
The Gift;Thriller-or-Suspense;Paramount Vantage;2000
Antitrust;Thriller-or-Suspense;MGM;2001
The Deep End;Thriller-or-Suspense;Fox Searchlight;2001
Mulholland Drive;Thriller-or-Suspense;Universal;2001
Unbreakable;Thriller-or-Suspense;Walt Disney;2000
With a Friend Like Harry;Thriller-or-Suspense;Miramax;2000
Impostor;Thriller-or-Suspense;Miramax;2002
Brigham City;Thriller-or-Suspense;Excel Entertainment;2001
Brother;Thriller-or-Suspense;Sony Pictures Classics;2001
Baise-moi;Thriller-or-Suspense;;2000
