 	Release Date	Movie	Production Budget	Domestic Gross	Worldwide Gross
1 	12/18/2009 	Avatar 	$425,000,000 	$760,507,648 	$2,783,919,005
2 	5/24/2007 	Pirates of the Caribbean: At World's End 	$300,000,000 	$309,420,425 	$960,996,492
3 	7/20/2012 	The Dark Knight Rises 	$275,000,000 	$448,139,104 	$1,079,343,948
4 	7/2/2013 	The Lone Ranger 	$275,000,000 	$89,289,912 	$259,989,912
5 	3/9/2012 	John Carter 	$275,000,000 	$73,058,680 	$282,778,101
6 	11/24/2010 	Tangled 	$260,000,000 	$200,821,936 	$586,581,936
7 	5/4/2007 	Spider-Man 3 	$258,000,000 	$336,530,304 	$890,875,304
8 	12/14/2012 	The Hobbit: An Unexpected Journey 	$250,000,000 	$303,003,584 	$1,014,703,584
9 	7/15/2009 	Harry Potter and the Half-Blood Prince 	$250,000,000 	$301,959,200 	$935,083,689
10 	12/13/2013 	The Hobbit: The Desolation of Smaug 	$250,000,000 	$258,366,855 	$950,466,855
11 	12/17/2014 	The Hobbit: The Battle of the Five Armies 	$250,000,000 	$253,949,155 	$950,949,155
12 	5/20/2011 	Pirates of the Caribbean: On Stranger Tides 	$250,000,000 	$241,063,875 	$1,043,663,875
13 	6/28/2006 	Superman Returns 	$232,000,000 	$200,120,000 	$374,085,065
14 	11/14/2008 	Quantum of Solace 	$230,000,000 	$169,368,432 	$591,692,083
15 	5/4/2012 	The Avengers 	$225,000,000 	$623,279,552 	$1,514,279,552
16 	7/7/2006 	Pirates of the Caribbean: Dead Man's Chest 	$225,000,000 	$423,315,812 	$1,060,615,812
17 	6/14/2013 	Man of Steel 	$225,000,000 	$291,045,518 	$667,999,518
18 	5/16/2008 	The Chronicles of Narnia: Prince Caspian 	$225,000,000 	$141,621,490 	$417,341,288
19 	7/3/2012 	The Amazing Spider-Man 	$220,000,000 	$262,030,663 	$757,890,267
20 	5/25/2012 	Men in Black 3 	$215,000,000 	$179,020,854 	$654,213,485
21 	6/24/2009 	Transformers: Revenge of the Fallen 	$210,000,000 	$402,111,872 	$836,519,701
22 	6/27/2014 	Transformers: Age of Extinction 	$210,000,000 	$245,439,076 	$1,081,139,076
23 	5/26/2006 	X-Men: The Last Stand 	$210,000,000 	$234,362,464 	$459,359,557
24 	5/14/2010 	Robin Hood 	$210,000,000 	$105,487,148 	$322,459,006
25 	5/18/2012 	Battleship 	$209,000,000 	$65,235,400 	$305,220,228
26 	12/14/2005 	King Kong 	$207,000,000 	$218,080,032 	$550,517,364
27 	12/1/2007 	The Golden Compass 	$205,000,000 	$70,107,728 	$367,262,558
28 	12/17/1997 	Titanic 	$200,000,000 	$658,672,320 	$2,207,615,686
29 	6/18/2010 	Toy Story 3 	$200,000,000 	$415,004,880 	$1,069,818,229
30 	5/3/2013 	Iron Man 3 	$200,000,000 	$408,992,272 	$1,172,805,920
31 	6/30/2004 	Spider-Man 2 	$200,000,000 	$373,524,485 	$783,705,001
32 	3/5/2010 	Alice in Wonderland 	$200,000,000 	$334,191,110 	$1,020,020,941
33 	11/8/2012 	Skyfall 	$200,000,000 	$304,360,288 	$1,110,526,992
34 	6/21/2013 	Monsters University 	$200,000,000 	$268,488,329 	$743,588,329
35 	3/8/2013 	Oz the Great and Powerful 	$200,000,000 	$234,770,996 	$489,570,996
36 	5/23/2014 	X-Men: Days of Future Past 	$200,000,000 	$233,921,536 	$744,321,536
37 	5/2/2014 	The Amazing Spider-Man 2 	$200,000,000 	$202,853,936 	$708,996,339
38 	6/24/2011 	Cars 2 	$200,000,000 	$191,450,880 	$560,155,388
39 	12/17/2010 	Tron: Legacy 	$200,000,000 	$172,062,768 	$397,562,768
40 	11/13/2009 	2012 	$200,000,000 	$166,112,167 	$788,408,539
41 	5/21/2009 	Terminator Salvation: The Future Begins 	$200,000,000 	$125,322,472 	$365,491,795
42 	6/17/2011 	Green Lantern 	$200,000,000 	$116,601,172 	$231,201,172
43 	5/28/2010 	Prince of Persia: Sands of Time 	$200,000,000 	$90,759,680 	$314,594,601
44 	6/29/2011 	Transformers: Dark of the Moon 	$195,000,000 	$352,390,543 	$1,123,794,076
45 	3/1/2013 	Jack the Giant Slayer 	$195,000,000 	$65,187,604 	$197,387,604
46 	5/15/2013 	Star Trek Into Darkness 	$190,000,000 	$228,778,661 	$466,978,661
47 	6/21/2013 	World War Z 	$190,000,000 	$202,359,712 	$531,514,651
48 	5/10/2013 	The Great Gatsby 	$190,000,000 	$144,840,419 	$351,040,419
49 	11/6/2009 	Disney's A Christmas Carol 	$190,000,000 	$137,855,863 	$315,709,697
50 	7/12/2013 	Pacific Rim 	$190,000,000 	$101,802,906 	$411,002,906
51 	11/4/2006 	A Christmas Carol 	$190,000,000 	$0 	$177,853,834
